year,month,day,OFFICE,IMPORTER.TIN,TARIFF.CODE,ORIGIN.CODE,CIF_USD_EQUIVALENT,QUANTITY,GROSS.WEIGHT,TOTAL.TAXES.USD,RAISED_TAX_AMOUNT_USD,illicit
2013,1,1,OFFICE81,IMP417830,8536200000,CNTRY975,2683,1,10,0,0,0
2013,1,1,OFFICE40,IMP482566,8703321922,CNTRY376,4448,1,71,391,0,0
2013,1,1,OFFICE51,IMP522051,8703231119,CNTRY562,39326,1,23486,491,0,0
2013,1,1,OFFICE51,IMP731188,8703241128,CNTRY680,139108,1879,494788,4001,0,0
2013,1,1,OFFICE96,IMP664947,3905300000,CNTRY771,160224,1695,2593,480,521,1
2013,1,1,OFFICE76,IMP300514,8703900000,CNTRY680,114805,4,1842,613,227,1
2013,1,1,OFFICE51,IMP871286,8517180000,CNTRY680,4258,28,1669,494,0,0
2013,1,1,OFFICE51,IMP165224,8703222900,CNTRY994,2833,1,364097,3092,0,0
2013,1,1,OFFICE92,IMP830465,8702101319,CNTRY216,4434,1,1934,292,0,0
2013,1,1,OFFICE51,IMP358915,8703242900,CNTRY759,2425,192,158080,3479,0,0
2013,1,1,OFFICE51,IMP905084,8703900000,CNTRY759,4449,32578,475739,836,0,0
2013,1,1,OFFICE59,IMP152810,8702101319,CNTRY615,2683,376,1848,648,0,0
2013,1,1,OFFICE51,IMP837219,8703331124,CNTRY680,2814,1,2410,6559,0,0
2013,1,1,OFFICE92,IMP902662,8703222900,CNTRY680,37039,2765,30147,1394,0,0
2013,1,1,OFFICE51,IMP585253,8703241128,CNTRY680,4656,1,709983,933,0,0
2013,1,1,OFFICE51,IMP451441,8703232926,CNTRY759,4138,6,257125,2988,0,0
2013,1,1,OFFICE59,IMP294703,8702101319,CNTRY680,4618,4168,45323,4948,0,0
2013,1,1,OFFICE51,IMP566902,8703242100,CNTRY680,164738,1,1622,9607,0,0
2013,1,1,OFFICE51,IMP468811,8703331226,CNTRY680,20723,1,10851,3946,0,0
2013,1,1,OFFICE59,IMP446948,8703241128,CNTRY680,170185,3627,42724,562,0,0
2013,1,1,OFFICE51,IMP662011,8703900000,CNTRY680,170164,1,3424,3927,0,0
2013,1,1,OFFICE59,IMP934643,8702902099,CNTRY759,69593,6585,13936,9139,0,0
2013,1,1,OFFICE59,IMP235251,8703222900,CNTRY376,8987,2483,31896,556,0,0
2013,1,1,OFFICE51,IMP261908,5007200000,CNTRY713,153072,1,11404,501,0,0
2013,1,1,OFFICE51,IMP576016,8704212025,CNTRY680,2606,1,409955,4891,0,0
2013,1,1,OFFICE51,IMP602640,8703222900,CNTRY622,4239,268,229998,748,0,0
2013,1,1,OFFICE60,IMP418859,8703241128,CNTRY976,2824,31,11576,4435,0,0
2013,1,1,OFFICE51,IMP165224,8703242900,CNTRY680,9100,1940,13769,543,0,0
2013,1,1,OFFICE40,IMP158220,8483200000,CNTRY680,2712,135,1692,33980,0,0
2013,1,1,OFFICE51,IMP284988,8703241128,CNTRY454,171539,1,1745,3633,0,0
2013,1,1,OFFICE51,IMP960205,8702101319,CNTRY376,2750,1,1670,481,0,0
2013,1,1,OFFICE51,IMP970801,8703241128,CNTRY680,4229,271,1840,569,0,0
2013,1,1,OFFICE59,IMP496378,8703210011,CNTRY454,89294,1116,27630,3733,0,0
2013,1,1,OFFICE40,IMP124597,8703332100,CNTRY759,183914,1,478651,4082,0,0
2013,1,1,OFFICE51,IMP721342,8429510000,CNTRY994,4058,270,144076,1148,0,0
2013,1,1,OFFICE51,IMP826164,8704231924,CNTRY680,2664,3505,13754,2346,0,0
2013,1,1,OFFICE84,IMP762355,8201100011,CNTRY562,16739,2678,64553,0,0,0
2013,1,1,OFFICE40,IMP435297,8703242900,CNTRY680,39529,1,24173,512,0,0
2013,1,1,OFFICE51,IMP238427,7308909000,CNTRY881,15256,22,359569,3710,0,0
2013,1,1,OFFICE51,IMP179534,8703242100,CNTRY680,9815,1,742404,5352,0,0
2013,1,1,OFFICE59,IMP261031,8703242100,CNTRY759,3837,19,22051,485,0,0
2013,1,1,OFFICE51,IMP435297,8703232926,CNTRY680,4729,5,637257,5763,0,0
2013,1,1,OFFICE51,IMP765282,8703232124,CNTRY277,8651,13,22821,2533,0,0
2013,1,1,OFFICE51,IMP322908,8703241128,CNTRY680,4451,1,329469,3875,0,0
2013,1,1,OFFICE23,IMP853002,8704231122,CNTRY873,49535,2150,1044,780,0,0
2013,1,1,OFFICE51,IMP976580,8703222900,CNTRY680,2715,1,1747,11287,0,0
2013,1,1,OFFICE92,IMP934643,8702102029,CNTRY680,67812,1,412676,37302,0,0
2013,1,1,OFFICE59,IMP865057,8473300000,CNTRY759,157782,1,308211,486,0,0
2013,1,1,OFFICE92,IMP697425,8703331928,CNTRY680,2101,1993,1962,4707,0,0
2013,1,1,OFFICE59,IMP839288,8703331928,CNTRY759,34208,271,1930,7875,0,0
2013,1,1,OFFICE59,IMP235251,8703232926,CNTRY680,84240,1,1809,775,0,0
2013,1,1,OFFICE60,IMP142940,8703222900,CNTRY680,132868,3,2331,518,0,0
2013,1,1,OFFICE24,IMP152015,8703321922,CNTRY277,117823,39,219397,1187,0,0
2013,1,1,OFFICE35,IMP337218,5607500000,CNTRY473,2676,259,2492,26402,1048,1
2013,1,1,OFFICE76,IMP845278,8703222900,CNTRY959,7408,27,32119,2991,0,0
2013,1,1,OFFICE51,IMP152810,8703331226,CNTRY759,4248,1568,204057,1342,0,0
2013,1,1,OFFICE51,IMP764499,8430410000,CNTRY150,212955,4100,558,294,0,0
2013,1,1,OFFICE40,IMP444534,8704212025,CNTRY562,2651,1,1189,2922,0,0
2013,1,1,OFFICE59,IMP112691,8440900000,CNTRY680,9094,199,24782,2771,0,0
2013,1,1,OFFICE24,IMP509522,3204160000,CNTRY680,2173,1,1056,3906,0,0
2013,1,1,OFFICE59,IMP715456,8517180000,CNTRY759,4546,1,390064,11554,0,0
2013,1,1,OFFICE51,IMP173637,8703232926,CNTRY680,94964,18009,3786666,39817,0,0
2013,1,1,OFFICE60,IMP130305,8703321922,CNTRY759,60883,1,375836,3527,0,0
2013,1,1,OFFICE51,IMP654182,8703210011,CNTRY680,4483,33387,22905,476,0,0
2013,1,1,OFFICE60,IMP911330,8703241128,CNTRY680,339895,1,281154,3429,0,0
2013,1,1,OFFICE51,IMP965305,8703321922,CNTRY759,2371,32733,230712,2804,0,0
2013,1,1,OFFICE40,IMP473850,8704212025,CNTRY680,756824,1,113799,2698,0,0
2013,1,1,OFFICE51,IMP397091,8703232926,CNTRY454,4251,1,224101,512,0,0
2013,1,1,OFFICE40,IMP365475,8703321922,CNTRY748,147024,1637,377,2777,0,0
2013,1,1,OFFICE76,IMP461608,8702101319,CNTRY277,148286,1,292321,3377,0,0
2013,1,1,OFFICE76,IMP422356,8703232926,CNTRY680,552925,1625,26461,4230,0,0
2013,1,1,OFFICE59,IMP132928,8705900000,CNTRY680,3958,1,337948,409,0,0
2013,1,1,OFFICE40,IMP120631,8703242900,CNTRY680,2095,1,235756,31392,0,0
2013,1,1,OFFICE51,IMP317454,8703241128,CNTRY680,2276,143,407651,3270,0,0
2013,1,1,OFFICE76,IMP446948,8544490000,CNTRY962,194792,769,328,7092,0,0
2013,1,1,OFFICE51,IMP592970,8703232926,CNTRY680,4250,1,354982,3089,0,0
2013,1,1,OFFICE51,IMP243951,8703241128,CNTRY680,9826,5235,36460,539,0,0
2013,1,1,OFFICE59,IMP830465,8473300000,CNTRY680,23079,378,226760,6984,0,0
2013,1,1,OFFICE51,IMP358915,7323100000,CNTRY680,49847,4,210801,18416,0,0
2013,1,1,OFFICE51,IMP351195,3921120000,CNTRY884,2422,40776,303708,3050,0,0
2013,1,1,OFFICE51,IMP995597,8704900099,CNTRY759,32690,4840,718,730,0,0
2013,1,1,OFFICE92,IMP943231,3810000000,CNTRY825,58779,19,420551,2979,0,0
2013,1,1,OFFICE76,IMP522051,8703231119,CNTRY680,269304,1,2135,3960,0,0
2013,1,1,OFFICE59,IMP482566,8703900000,CNTRY759,198300,3,255047,3781,0,0
2013,1,1,OFFICE59,IMP715356,8703332900,CNTRY680,4414,1,1886,3927,0,0
2013,1,1,OFFICE59,IMP616856,8507200000,CNTRY759,78784,5540,126191,3767,0,0
2013,1,1,OFFICE51,IMP120631,8703900000,CNTRY680,2247,1,1753,501,0,0
2013,1,1,OFFICE51,IMP783432,8703321922,CNTRY376,2697,1,148989,2856,0,0
2013,1,1,OFFICE51,IMP440223,8703241128,CNTRY680,66163,2568,31693,690,0,0
2013,1,1,OFFICE51,IMP818665,8703222900,CNTRY680,4398,89,3557,1223,0,0
2013,1,1,OFFICE51,IMP502913,8703222900,CNTRY759,2309,81,1664,8461,0,0
2013,1,1,OFFICE51,IMP715456,8703241128,CNTRY277,4038,1,30541,1278,0,0
2013,1,1,OFFICE59,IMP557327,8703232926,CNTRY680,2364,1552,474545,558,0,0
2013,1,1,OFFICE88,IMP530144,5801900000,CNTRY764,50279,7,970,5439,1342,1
2013,1,1,OFFICE76,IMP545640,8703321922,CNTRY125,8032,232,1026,436,0,0
2013,1,1,OFFICE60,IMP389795,8703232225,CNTRY491,9043,1247,177497,2,0,0
2013,1,1,OFFICE76,IMP660556,8703222900,CNTRY830,4447,55,3683,785,0,0
2013,1,1,OFFICE51,IMP152015,8703222900,CNTRY615,8373,24671,1799,541,0,0
2013,1,1,OFFICE51,IMP704075,8703241128,CNTRY680,73877,1,1694,3028,0,0
2013,1,1,OFFICE59,IMP439370,8703241128,CNTRY680,4415,3940,671305,14969,0,0
2013,1,1,OFFICE84,IMP897252,904110000,CNTRY323,55488,1,1536,2484,978,1
2013,1,1,OFFICE51,IMP824798,8703222900,CNTRY680,4027,1,12328,10324,0,0
2013,1,1,OFFICE59,IMP444534,8703241128,CNTRY759,130174,1,1151,3095,0,0
2013,1,1,OFFICE51,IMP339215,8703210011,CNTRY713,8269,7831,1564,738,0,0
2013,1,1,OFFICE59,IMP278851,8704322000,CNTRY680,7215,1,1649,510,0,0
2013,1,1,OFFICE51,IMP894296,8703210011,CNTRY615,2437,238,421687,551,0,0
2013,1,1,OFFICE51,IMP393792,8703231221,CNTRY264,2179,151,29517,4714,0,0
2013,1,1,OFFICE59,IMP475311,4901999000,CNTRY615,70792,248,158606,2277,0,0
2013,1,1,OFFICE51,IMP179534,8703900000,CNTRY680,2311,153,16213,22372,0,0
2013,1,1,OFFICE92,IMP194834,8703222900,CNTRY680,9749,183,1875,540,0,0
2013,1,1,OFFICE59,IMP237401,8703241128,CNTRY759,122546,1,177699,500,0,0
2013,1,1,OFFICE51,IMP638434,8302410000,CNTRY680,7227,10723,31870,2957,0,0
2013,1,1,OFFICE51,IMP720986,8703900000,CNTRY680,2520,119,349851,487,0,0
2013,1,1,OFFICE51,IMP560489,8702101319,CNTRY680,456042,34,242249,727,0,0
2013,1,1,OFFICE59,IMP921040,8517180000,CNTRY277,2841,1,20934,1242,0,0
2013,1,1,OFFICE59,IMP288464,8703321220,CNTRY759,15598,1960,1653,702,0,0
2013,1,1,OFFICE51,IMP798907,8703232926,CNTRY759,2152,5,454483,512,0,0
2013,1,1,OFFICE51,IMP674947,8703241128,CNTRY759,3922,294,11947,3168,0,0
2013,1,1,OFFICE59,IMP806682,8702902099,CNTRY555,3713,46,32886,2894,0,0
2013,1,1,OFFICE51,IMP233628,8703900000,CNTRY680,8104,2502,311588,3776,0,0
2013,1,1,OFFICE51,IMP446948,8703231221,CNTRY759,4666,5,1146,4285,0,0
2013,1,1,OFFICE76,IMP207129,8703232926,CNTRY615,99334,176,1142,3788,0,0
2013,1,1,OFFICE92,IMP329077,8703232926,CNTRY277,3809,1,2845,750,0,0
2013,1,1,OFFICE60,IMP674511,8703222900,CNTRY830,1865,263,9424,2480,0,0
2013,1,1,OFFICE92,IMP804413,8703241128,CNTRY713,5828,1343,990,704,0,0
2013,1,1,OFFICE59,IMP151873,8703321922,CNTRY680,25975,208,1815578,697,0,0
2013,1,1,OFFICE51,IMP720986,8703900000,CNTRY759,7385,3,1683,4362,0,0
2013,1,1,OFFICE51,IMP179534,8703222900,CNTRY759,4531,71604,14047,510,0,0
2013,1,1,OFFICE51,IMP951496,8703900000,CNTRY759,29916,2239,1117,2834,0,0
2013,1,1,OFFICE59,IMP385327,3004900000,CNTRY376,4094,1,11673,782,0,0
2013,1,1,OFFICE60,IMP173637,5204190000,CNTRY680,6825,1,282387,7879,0,0
2013,1,1,OFFICE60,IMP837081,8703232926,CNTRY454,28293,104,74490,733,0,0
2013,1,1,OFFICE76,IMP302697,8517180000,CNTRY615,2223,38,260012,3822,0,0
2013,1,1,OFFICE51,IMP413288,8703241128,CNTRY376,63908,1,1726,3777,0,0
2013,1,1,OFFICE51,IMP413429,8703241128,CNTRY759,4415,78,128754,35934,0,0
2013,1,1,OFFICE18,IMP480296,8703241136,CNTRY859,1785,2405,6712,719,0,0
2013,1,1,OFFICE40,IMP446948,8702902099,CNTRY376,4037,90,228197,740,0,0
2013,1,1,OFFICE51,IMP995522,5801900000,CNTRY680,590081,30,1030,22046,775,1
2013,1,1,OFFICE59,IMP142940,8703321220,CNTRY874,55734,14,173833,522,0,0
2013,1,1,OFFICE40,IMP522479,8703332100,CNTRY311,70321,46,21906,1243,0,0
2013,1,1,OFFICE59,IMP900492,5801900000,CNTRY680,2246,32,248873,597,0,0
2013,1,1,OFFICE59,IMP844837,8703331928,CNTRY759,9369,1,710290,11264,0,0
2013,1,1,OFFICE51,IMP555103,8703900000,CNTRY680,32425,1,3518,3947,0,0
2013,1,1,OFFICE51,IMP450852,8703900000,CNTRY884,101167,1,1085723,4947,0,0
2013,1,1,OFFICE59,IMP223477,4802570000,CNTRY759,102164,10405,234564,1438,0,0
2013,1,1,OFFICE40,IMP447222,8466200000,CNTRY429,2241,11117,2158,180,0,0
2013,1,1,OFFICE24,IMP151367,8704322000,CNTRY317,21586,52,44,33160,1224,1
2013,1,1,OFFICE40,IMP381347,808100000,CNTRY680,74465,1,328,479,0,0
2013,1,1,OFFICE23,IMP732143,5511300000,CNTRY473,39474,1601,46037,5211,0,0
2013,1,1,OFFICE59,IMP555103,8703241128,CNTRY680,2400,50,33352,3170,0,0
2013,1,1,OFFICE40,IMP397091,8703232225,CNTRY759,89117,102,10391,457,0,0
2013,1,1,OFFICE59,IMP439866,8703222900,CNTRY680,2470,6,502996,10891,0,0
2013,1,1,OFFICE51,IMP447222,8703222900,CNTRY562,8293,1,347657,881,0,0
2013,1,1,OFFICE40,IMP822061,7007110000,CNTRY321,2699,186,10043,207091,0,0
2013,1,1,OFFICE59,IMP243951,8703222900,CNTRY680,16842,1,1947,553,0,0
2013,1,1,OFFICE60,IMP624912,7208390000,CNTRY139,2624,799,100526,2569,0,0
2013,1,1,OFFICE51,IMP163708,8703321922,CNTRY759,8267,1585,26037,749,0,0
2013,1,1,OFFICE51,IMP352883,8703241128,CNTRY680,8104,1,246540,3333,0,0
2013,1,1,OFFICE40,IMP397390,9207900000,CNTRY680,8405,27,30302,1589,0,0
2013,1,1,OFFICE59,IMP243951,8702101319,CNTRY680,9935,1,2026,5654,0,0
2013,1,1,OFFICE51,IMP606875,2002902000,CNTRY975,2653,4649,37,163,0,0
2013,1,1,OFFICE51,IMP381347,3902100000,CNTRY680,4359,35,653082,512,0,0
2013,1,1,OFFICE51,IMP392040,2204210000,CNTRY376,23463,1,209741,49526,0,0
2013,1,1,OFFICE76,IMP307848,8703232926,CNTRY680,4236,170,401203,3545,0,0
2013,1,1,OFFICE51,IMP831109,7323100000,CNTRY680,4243,1,148137,3142,0,0
2013,1,1,OFFICE59,IMP916902,8517180000,CNTRY759,41415,25274,1012,3147,0,0
2013,1,1,OFFICE60,IMP368858,8702102029,CNTRY830,148095,211,32433,732,0,0
2013,1,1,OFFICE40,IMP271968,8704212025,CNTRY680,582426,1,419315,1318,0,0
2013,1,1,OFFICE60,IMP287020,8704322000,CNTRY680,6570,50,201033,531,0,0
2013,1,1,OFFICE51,IMP496378,8703331226,CNTRY680,4401,20,10367,650,0,0
2013,1,1,OFFICE51,IMP435297,8703232926,CNTRY680,4366,1,1120,13974,0,0
2013,1,1,OFFICE23,IMP747754,8703232926,CNTRY317,6613,614,1006,749,0,0
2013,1,1,OFFICE40,IMP916498,8703331928,CNTRY376,143427,1,160988,491,0,0
2013,1,1,OFFICE51,IMP221718,8703331226,CNTRY562,199893,1,654351,2906,0,0
2013,1,1,OFFICE51,IMP965305,5801900000,CNTRY376,4309,192,31502,3083,0,0
2013,1,1,OFFICE51,IMP818665,8703231119,CNTRY825,87299,1,1813,39679,0,0
2013,1,1,OFFICE51,IMP643203,8704212025,CNTRY680,162889,372,521471,11540,0,0
2013,1,1,OFFICE60,IMP450852,8703241128,CNTRY680,2120,1,268143,523,0,0
2013,1,1,OFFICE51,IMP934273,8703332100,CNTRY680,2737,1,1878,519,0,0
2013,1,1,OFFICE51,IMP924304,8703231119,CNTRY759,2700,187,7704,0,0,0
2013,1,1,OFFICE51,IMP555103,8703241128,CNTRY680,155924,2599,32192,2761,0,0
2013,1,1,OFFICE51,IMP995597,8703900000,CNTRY680,48810,17786,1771,448,0,0
2013,1,1,OFFICE59,IMP832758,8703232926,CNTRY680,11049,1,651841,5498,0,0
2013,1,1,OFFICE23,IMP745669,3920100000,CNTRY819,16913,3,19940,8093,0,0
2013,1,1,OFFICE296,IMPO14576,8484200000,CNTRY321,8961,1,891,16,0,0
2013,1,1,OFFICE298,IMPO18200,8716398090,CNTRY825,4195,3,12,2607,0,0
2013,1,1,OFFICE168,IMPO19245,6406909099,CNTRY652,38753,105,210,3170,0,0
2013,1,1,OFFICE298,IMPO16184,3926909229,CNTRY184,42,3,1,47,0,0
2013,1,1,OFFICE187,IMPO19578,8409990009,CNTRY976,4414,14,418044,9492,0,0
2013,1,1,OFFICE233,IMPO14029,9032108900,CNTRY615,342207,27507,2,436,0,0
2013,1,1,OFFICE187,IMPO16400,5806200000,CNTRY825,25687,136,3007,5,0,0
2013,1,1,OFFICE243,IMPO19601,8516108091,CNTRY316,17,5565,207,0,0,0
2013,1,1,OFFICE113,IMPO10407,3005100002,CNTRY764,248,355290,307045,4995,241,1
2013,1,1,OFFICE298,IMPO11025,3004900019,CNTRY994,31725,4521,5772,117,0,0
2013,1,1,OFFICE168,IMPO18767,6205200009,CNTRY376,198,10,1,225,0,0
2013,1,1,OFFICE204,IMPO19253,3809105000,CNTRY364,563,1054,56982,63,0,0
2013,1,1,OFFICE296,IMPO17282,5807109010,CNTRY994,29607,3,1,5,0,0
2013,1,1,OFFICE185,IMPO14494,7009100001,CNTRY123,210,289,258,2662,0,0
2013,1,1,OFFICE168,IMPO11316,8536901099,CNTRY994,84566,1080816,109,2531,0,0
2013,1,1,OFFICE162,IMPO19080,4821901000,CNTRY881,22391,3,1,108,0,0
2013,1,1,OFFICE299,IMPO17403,5309119000,CNTRY680,482,1987,21002,2847,0,0
2013,1,1,OFFICE237,IMPO15928,8517120010,CNTRY846,663,131,289,49,0,0
2013,1,1,OFFICE298,IMPO13631,8541100000,CNTRY994,28,55098,1,2687,0,0
2013,1,1,OFFICE237,IMPO19604,7326909889,CNTRY277,11188,19,31085,806,0,0
2013,1,1,OFFICE186,IMPO13889,5911100010,CNTRY454,542,14,91,0,585,1
2013,1,1,OFFICE214,IMPO15783,8708299009,CNTRY687,23708,3,2,5,0,0
2013,1,1,OFFICE187,IMPO13867,9804000000,CNTRY376,5350,1,1,11,0,0
2013,1,1,OFFICE109,IMPO15844,8703239095,CNTRY759,13,1072,7093,14,106,1
2013,1,1,OFFICE174,IMPO18253,4407279900,CNTRY975,1187,17,733,3624,325,1
2013,1,1,OFFICE214,IMPO19832,3809910000,CNTRY376,8562,75,2044,135,0,0
2013,1,1,OFFICE214,IMPO16612,7308905900,CNTRY747,686,59012,5629,38,0,0
2013,1,1,OFFICE168,IMPO17426,6406209000,CNTRY376,1553,16507,2,17,0,0
2013,1,1,OFFICE186,IMPO18788,8536908599,CNTRY976,424,1,1,5,0,0
2013,1,1,OFFICE243,IMPO11033,4411149002,CNTRY438,253,111,15811,5,0,0
2013,1,1,OFFICE186,IMPO12945,5508101001,CNTRY825,1534,14,171,493,0,0
2013,1,1,OFFICE100,IMPO19604,9804000000,CNTRY376,278,4,392,78,0,0
2013,1,1,OFFICE167,IMPO11563,4821101000,CNTRY825,1362,3269,37353,157,0,0
2013,1,1,OFFICE237,IMPO10976,8716398090,CNTRY994,8235,4,1,5,0,0
2013,1,1,OFFICE296,IMPO12985,8609009090,CNTRY994,27724,21,450,5,0,0
2013,1,1,OFFICE141,IMPO14670,8547200000,CNTRY976,115,7426,9412,5,0,0
2013,1,1,OFFICE187,IMPO12669,3922900002,CNTRY376,24,38134,258,15327,0,0
2013,1,1,OFFICE204,IMPO16510,8708299009,CNTRY376,74,16,207,2460,0,0
2013,1,1,OFFICE178,IMPO11058,4010120009,CNTRY713,12251,14098,200,11,788,1
2013,1,1,OFFICE180,IMPO12643,3102309000,CNTRY994,18,3,1365,3525,0,0
2013,1,1,OFFICE237,IMPO10711,8708939002,CNTRY994,312,1377,1,13,415,1
2013,1,1,OFFICE134,IMPO14890,4821109000,CNTRY376,521,22,165,11,0,0
2013,1,1,OFFICE134,IMPO18973,8714104000,CNTRY994,16,1,1,5,0,0
2013,1,1,OFFICE109,IMPO11938,2933199000,CNTRY376,262,989,2956,5,0,0
2013,1,1,OFFICE298,IMPO12250,3004900019,CNTRY994,5505,22,3,5,0,0
2013,1,1,OFFICE186,IMPO16593,8703321961,CNTRY454,40989,1559,1,1119,0,0
2013,1,1,OFFICE109,IMPO12265,5209520000,CNTRY123,390,77,8389,14,0,0
2013,1,1,OFFICE168,IMPO15052,3917320009,CNTRY376,3919,1,247,0,0,0
2013,1,1,OFFICE127,IMPO16658,4821109000,CNTRY994,1928,183,218,5,0,0
2013,1,1,OFFICE237,IMPO15765,4819100000,CNTRY825,35240,707,177,5,0,0
2013,1,1,OFFICE105,IMPO10638,8205400000,CNTRY915,4211,16,3518,342,0,0
2013,1,1,OFFICE134,IMPO17781,8203400000,CNTRY652,17622,18,886,5,0,0
2013,1,1,OFFICE185,IMPO18445,7314140000,CNTRY994,115,21336,1,606,0,0
2013,1,1,OFFICE296,IMPO11135,8544429092,CNTRY884,249,81,51,5,0,0
2013,1,1,OFFICE187,IMPO18189,8536908591,CNTRY994,374,4,1,5,0,0
2013,1,1,OFFICE126,IMPO10956,8448390090,CNTRY884,59459,1,1066,10,0,0
2013,1,1,OFFICE222,IMPO17282,9613100000,CNTRY615,56209,998,26396,488,0,0
2013,1,1,OFFICE168,IMPO18968,8703219030,CNTRY652,70268,1,5,6634,0,0
2013,1,1,OFFICE296,IMPO11265,8481900090,CNTRY652,63,273,1035657,132,0,0
2013,1,1,OFFICE197,IMPO12485,4821109000,CNTRY376,5419,667,328,364,0,0
2013,1,1,OFFICE187,IMPO12610,6110209909,CNTRY454,4308,17690,15795,5512,0,0
2013,1,1,OFFICE214,IMPO16995,3919108000,CNTRY123,24971,158,1,131,0,0
2013,1,1,OFFICE185,IMPO13165,8716400009,CNTRY263,1023,365,929,137,0,0
2013,1,1,OFFICE204,IMPO17958,5808900098,CNTRY393,18246,381,1436,0,0,0
2013,1,1,OFFICE168,IMPO15859,8533210000,CNTRY994,1861,567,1075,5,0,0
2013,1,1,OFFICE186,IMPO16865,7326909889,CNTRY454,974,23,347,5,0,0
2013,1,1,OFFICE100,IMPO19879,8716398090,CNTRY994,122,128,23,5,0,0
2013,1,1,OFFICE187,IMPO13403,3404900009,CNTRY884,34879,91,46223,1426,0,0
2013,1,1,OFFICE204,IMPO15765,4821101000,CNTRY825,20515,216,1363,5,0,0
2013,1,1,OFFICE162,IMPO19924,8479908000,CNTRY317,11,465,89,149,0,0
2013,1,1,OFFICE168,IMPO19390,8421310000,CNTRY994,288,112,208,5,0,0
2013,1,1,OFFICE134,IMPO10302,3004200010,CNTRY846,29789,13446,14,302,0,0
2013,1,1,OFFICE296,IMPO17391,4819100000,CNTRY994,28985,1,1,5,0,0
2013,1,1,OFFICE162,IMPO16400,8538909109,CNTRY976,874,16172,2656,539,173,1
2013,1,1,OFFICE134,IMPO12514,8703321961,CNTRY994,3159,4,20,197,0,0
2013,1,1,OFFICE204,IMPO12124,406909209,CNTRY171,11803,2584,1,14,174,1
2013,1,1,OFFICE292,IMPO12598,8424200000,CNTRY994,5134,602,222,4458,0,0
2013,1,1,OFFICE298,IMPO19547,7806008090,CNTRY748,13691,3455,21743,44,146,1
2013,1,1,OFFICE127,IMPO12835,3814009009,CNTRY454,64,12,17725,695,0,0
2013,1,1,OFFICE204,IMPO18432,7216509900,CNTRY976,290,4,13774,3428,0,0
2013,1,1,OFFICE204,IMPO10684,9606100010,CNTRY335,12170,3,3317,362,209,1
